235,233,235
233,231,233
229,227,229
225,223,225
221,219,221
218,216,218
216,214,216
212,210,212
208,206,208
204,204,204
200,200,200
196,196,196
192,192,192
188,188,188
184,184,184
181,181,181
178,178,178
174,174,174
172,172,171
170,167,164
167,160,156
166,154,147
163,147,139
160,141,130
158,135,120
156,129,112
152,122,104
150,116,96
147,111,90
144,106,84
140,101,76
138,96,69
135,90,63
131,85,56
128,79,50
125,74,43
121,70,37
118,66,32
116,62,28
113,57,23
110,52,18
107,48,14
106,46,12
106,44,12
107,44,11
108,42,10
108,40,10
108,40,10
109,38,9
110,36,8
110,35,8
111,33,8
112,31,7
114,29,6
114,26,6
116,24,5
116,22,4
117,21,4
117,20,4
117,18,4
118,16,2
119,13,2
122,8,2
125,4,0
130,5,0
135,8,0
141,14,1
146,18,1
151,23,2
157,30,2
163,36,2
169,42,2
174,49,2
180,58,2
186,66,2
192,74,2
200,84,2
206,92,2
211,102,2
216,111,2
220,122,2
226,132,2
232,144,2
238,155,2
244,166,2
248,176,4
246,182,8
238,182,14
228,180,20
218,179,24
207,177,28
197,176,30
187,173,34
176,170,36
166,166,39
156,164,41
147,162,43
137,160,46
128,156,48
120,154,50
110,150,52
99,148,54
87,146,56
76,142,59
64,140,59
52,136,60
40,132,61
24,130,63
12,130,63
7,132,60
9,137,56
14,142,52
18,148,49
24,154,46
30,160,43
39,165,42
49,171,44
62,176,50
77,182,57
94,188,66
110,194,74
125,199,82
140,205,89
154,211,98
170,216,108
184,222,118
198,228,128
213,235,140
226,240,151
238,244,162
248,249,172
250,252,178
245,252,179
238,252,179
231,252,178
224,251,178
217,250,178
210,250,177
204,249,178
198,248,178
192,247,178
186,247,178
181,246,178
178,246,181
176,244,186
176,243,190
177,242,196
176,242,202
176,242,208
175,240,211
174,239,213
